Site,Year,Peak biomass (mg),Peak date (julian),Seasonal biomass (mg),Cumulative thawing degree days,Cumulative daily precipitation,Snowmelt day,Average surface solar radiation
Akimiski,2009,"114,034918371576",168,"1397,3462951226","425,846621513367","65,1065116673708",145,"245,402918373666"
Alert,2007,"85,80694384325",204,"839,96494065145","48,3515913449228","59,7949637398124",201,"239,686871784489"
Alert,2008,"57,7683700201583",190,"567,094055753936","68,4295406006276","21,1229044161737",177,"282,363266363376"
Utqiagvik,2010,"19,6708517571",203,"197,2158563606","36,5399609170854","15,4201774895191",165,"245,197351967416"
Utqiagvik,2011,"10,7544093679",200,"115,0791981932","20,4158933721483","20,4792246595025",153,"246,326133169779"
Utqiagvik,2012,"71,29683659125",206,,"53,107621371746","20,157209597528",213,"241,472724728468"
Utqiagvik,2013,"56,4682546954667",184,"396,5698804832","65,1341106891632","32,6475746482611",177,"246,546672541921"
Utqiagvik,2014,"12,1930177126042",181,"130,701443007214","31,4637205861509","39,1630937680602",185,"220,678877667683"
Utqiagvik,2015,"82,7664667817708",173,"742,72592946575","69,9845740497112","28,0567865818739",181,"242,941897508575"
Utqiagvik,2016,"88,4709706207708",177,"1044,33653984962","57,8882271535694","41,9400247707963",,"245,928862781059"
Bylot,2005,"139,6358523145",194,"1437,40003418012","90,8981496095657","63,0250606797636",169,"219,289217320884"
Bylot,2006,"119,088034778",192,"1100,89347435155","69,3604692779481","68,6935307234526",169,"236,352565858422"
Bylot,2007,"99,8301143818333",182,"1240,99276942808","85,7524375878274","49,664782166481",161,"254,380260932736"
Bylot,2008,"84,8492630769167",180,"698,220487677833","107,163204491138","50,964129626751",157,"235,492779987614"
Bylot,2009,"69,0744368423",192,"887,931168183083","98,8304196298122","58,6336219161749",161,"225,137236804497"
Bylot,2010,"86,0375",186,"1091,575","118,647999372333","43,5300846472382",169,"266,313015077172"
Bylot,2011,"136,933333333333",182,"1227,95833333333","120,867862220854","42,0864508673549",161,"228,671940501143"
Bylot,2012,"69,1666666666667",184,"392,941666666667","98,1278570890426","82,6342914998531",169,"204,134717987805"
Bylot,2013,"42,7416666666667",202,"504,308333333333","76,5035686194896","76,1630136482418",161,"219,806637647675"
Bylot,2014,"81,1916666666667",204,"528,275","92,0245129466057","30,2191199883819",161,"260,128828839558"
Bylot,2015,"81,725",180,"935,855833333333","118,474966436624","23,228331297636",161,"245,064137528582"
Bylot,2016,"51,4166666666667",180,"746,75","182,183585908264","23,3979958891869",169,"278,735000238186"
Bylot,2017,"33,1166666666667",188,"393,025","100,530024915934","33,8492816612124",185,"256,890062285633"
Canning,2010,"6,46300914366667",175,"106,3877642604","91,4853764772415","4,85850162059069",153,"271,973171327172"
Canning,2011,"6,44022882025833",167,"67,930464396575","90,4277237020433","12,462758526206",161,"253,251235589749"
Canning,2012,"5,11302530706667",184,"57,6383561923","155,340757727623","8,32991711050273",161,"273,231037419017"
Churchill,2011,"83,5721904136333",180,"944,815665258","282,077698588371","67,723811455071",145,"265,377959460747"
Churchill,2010,"76,5533536106333",167,"882,7260667534","281,45465272665","56,7567352205515",,"271,118580887957"
Colville,2011,"77,7313110189667",184,"646,9506392383","70,6340084336698","14,1273800060153",157,"251,86245057641"
Colville,2012,"127,291334825633",196,,"141,91180229187","17,8382398560643",153,"279,359967487614"
Colville,2015,"142,4450388386",180,"1799,4301327171","180,490261495113","14,2816529348493",145,"256,923202886814"
Colville,2016,"28,929877652",177,"308,9931932876","150,116515219212","28,8242158144713",,"251,534903177401"
Colville,2017,"70,2180291765458",190,"682,090144469358","138,89912751317","2,39903213456273",,"279,188640315358"
Chipp,2013,"70,2011931740333",198,"939,820752998151","110,846879869699","30,7620525062084",209,"242,859943669017"
Hochstetter,2011,"6,07799788095083",209,"119,332656800344","62,6368005275726","7,22796203196049",185,"334,762192144627"
Hochstetter,2013,"13,6461922289746",206,"167,456095484646","70,861839979887","28,6511460691691",161,"308,781285727896"
Hochstetter,2012,"10,765913107243",212,"149,434313500211","81,5527634918689","11,5516109839082",193,"323,430762314215"
Hochstetter,2016,"10,929777617761",208,"198,182659494236","108,562943279743","7,14285543560982",185,"335,714281035633"
Hochstetter,2017,"19,2849785030638",212,,"62,6685390770435","51,2017199844122",193,"316,982448670922"
Hochstetter,2014,"9,33202865384443",204,"129,110835697551","68,56045332551","19,4708546251059",189,"306,272830125762"
Herschel,2007,"555,82667394725",193,"4573,53212745945","106,170841544867","17,7691024541855",177,"263,094262099848"
Herschel,2008,"311,015757404033",183,"4134,57593447071","177,403626173735","28,0858580991626",153,"271,047640172447"
Igloolik,2014,"115,94",198,"764,161416666667","120,997466295958","28,4480385296047",177,"270,565551757812"
Igloolik,2017,"196,58",188,"1973,36547583333","133,932432502508","29,8956308886409",177,"278,299670707889"
Ikpikpuk,2010,"61,7757370505667",175,"723,0632331769","51,7461718618869","10,6337022930384",177,"260,716642054116"
Ikpikpuk,2011,"59,4872464282",176,"828,4065923584","40,8981346189976","27,1486633382738",161,"247,660507574314"
